您的体重属于肥胖，迫切需要减少能量的摄入，减轻体重。 ______ 您的體重屬於肥胖，迫切需要減少能量的攝入，減輕體重。
您的体重已经超重，应该减少能量的摄入，减轻体重。 ______ 您的體重已經超重，應該減少能量的攝入，減輕體重。
您的体重正常，应该注意膳食均衡，保持体重。 ______ 您的體重正常，應該注意膳食均衡，保持體重。
您的体重偏低，应该适当增加蛋白质的摄入，维持健康的体重。 ______ 您的體重偏低，應該適當增加蛋白質的攝入，維持健康的體重。
您的糖尿病风险偏高，应该严格控制糖的摄入，多摄入低GI的食物如蔬菜、豆类等。 ______ 您的糖尿病風險偏高，應該嚴格控製糖的攝入，多攝入低GI的食物如蔬菜、豆類等。
您的高血压风险偏高，建议富钾低钠饮食，多吃富含膳食纤维的谷物、如燕麦、玉米等。 ______ 您的高血壓風險偏高，建議富鉀低鈉飲食，多吃富含膳食纖維的穀物、如燕麥、玉米等。
您的心梗和脑梗风险为%s，控制胆固醇和饱和脂肪酸的摄入，减少动物脂肪摄入比例，增加植物性饮食。 ______ 您的心梗和腦梗風險為%s，控制膽固醇和飽和脂肪酸的攝入，減少動物脂肪攝入比例，增加植物性飲食。
您的贫血风险偏高，增加富含铁、叶酸和维生素B12食物的摄入，如菠菜、芝麻等。 ______ 您的貧血風險偏高，增加富含鐵、葉酸和維生素B12食物的攝入，如菠菜、芝麻等。
合理安排一日三餐的时间和能量比例，减少油炸、烟熏、腌制食品的食用量。 ______ 合理安排一日三餐的時間和能量比例，減少油炸、煙熏、醃製食品的食用量。
减少辛辣食物的摄入，饮食尽量清淡，适当补充钙质。 ______ 減少辛辣食物的攝入，飲食盡量清淡，適當補充鈣質。
定时定量进餐，避免暴饮暴食，控制浓茶和咖啡的过量饮用。 ______ 定時定量進餐，避免暴飲暴食，控制濃茶和咖啡的過量飲用。
多食用羽衣甘蓝、菠菜、桃子、木瓜、橘子等富含叶黄素的深色蔬菜或黄色水果。 ______ 多食用羽衣甘藍、菠菜、桃子、木瓜、橘子等富含葉黃素的深色蔬菜或黃色水果。
饮水应该少量多次，单次饮水量不要超过500ml，避免眼压的升高。 ______ 飲水應該少量多次，單次飲水量不要超過500ml，避免眼壓的升高。
建议适当补充维生素A、B、C、E及锌、硒、镁等微量元素，有助于改善视网膜和视神经。 ______ 建議適當補充維生素A、B、C、E及鋅、硒、鎂等微量元素，有助於改善視網膜和視神經。
多喝水，建议以白开水为主，合理选择饮料，以低糖、乳类或纯果汁饮料为佳。 ______ 多喝水，建議以清水為主，合理選擇飲料，以低糖、乳類或純果汁飲料為佳。
养成进食时细嚼慢咽的好习惯，吃饭时避免狼吞虎咽和过量进食。 ______ 養成進食時細嚼慢嚥的好習慣，吃飯時避免狼吞虎咽和過量進食。
减少精细食物的摄入，精米细面要少吃，多吃粗粮，如高粱、荞麦等。 ______ 減少精細食物的攝入，精米細麵要少吃，多吃粗糧，如高粱、蕎麥等。
烹饪时注意少油、少盐，每天可适量喝一杯绿茶。 ______ 烹飪時注意少油、少鹽，每天可適量喝一杯綠茶。
有宵夜习惯的人群要注意控制，晚上9点以后不要进食过多的食物。 ______ 有宵夜習慣的人群要注意控制，晚上9點以後不要進食過多的食物。
炸鸡、汉堡、可乐、甜食等食物热量较高，要尽量避免其摄入。 ______ 炸雞、漢堡、可樂、甜食等食物熱量較高，要盡量避免其攝入。
饭后避免平躺和剧烈运动，可适当按摩腹部可促进消化。 ______ 飯後避免平躺和劇烈運動，可適當按摩腹部可促進消化。
改掉不吃早餐的坏习惯，注意早餐的营养均衡。 ______ 改掉不吃早餐的壞習慣，注意早餐的營養均衡。
您的体型属于肥胖，减轻体重很有必要，有氧运动结合无氧运动有利于控制体重。 ______ 您的體型屬於肥胖，減輕體重很有必要，有氧運動結合無氧運動有利於控制體重。
您的体重已超重，建议以有氧运动为主，结合无氧运动，减轻体重。 ______ 您的體重已超重，建議以有氧運動為主，結合無氧運動，減輕體重。
您的体重正常，保持良好的运动习惯，维持体重。 ______ 您的體重正常，保持良好的運動習慣，維持體重。
您的体重偏低，建议进行适当的无氧运动，配合有氧运动，维持健康的体重。 ______ 您的體重偏低，建議進行適當的無氧運動，配合有氧運動，維持健康的體重。
有氧运动可以选择长跑、游泳、快骑自行车、快走、健身操等。 ______ 有氧運動可以選擇長跑、游泳、快騎自行車、快走、健身操等。
有氧运动可以选择慢跑、游泳、滑冰、太极拳等。 ______ 有氧運動可以選擇慢跑、游泳、滑冰、太極拳等。
有氧运动可以选择太极拳、散步、广场舞、交际舞等。 ______ 有氧運動可以選擇太極拳、散步、跳舞、交際舞等。
无氧运动可以选择短跑、力量训练、竞技类运动、球类运动等。 ______ 無氧運動可以選擇短跑、力量訓練、競技類運動、球類運動等。
无氧运动可以选择高尔夫、乒乓球、羽毛球等。 ______ 無氧運動可以選擇高爾夫、乒乓球、羽毛球等。
无氧运动可以选择强度较小的运动方式如高尔夫、乒乓球等。 ______ 無氧運動可以選擇強度較小的運動方式如高爾夫、乒乓球等。
建议每次运动时间不少于30分钟，每周运动不少于5次。 ______ 建議每次運動時間不少於30分鐘，每週運動不少於5次。
您有视网膜脱离风险异常，避免或减少眼部碰撞以及过于激烈的运动，如跳水、蹦极、跳伞、过山车等活动。 ______ 您有視網膜脫離風險異常，避免或減少眼部碰撞以及過於激烈的運動，如跳水、蹦極、跳傘、過山車等活動。
运动强度应循序渐进，量力而为，运动前进行适当热身。 ______ 運動強度應循序漸進，量力而為，運動前進行適當熱身。
单次运动时间不宜过长，运动结束后注意适量补充水分和电解质。 ______ 單次運動時間不宜過長，運動結束後注意適量補充水分和電解質。
运动结束后应注意肌肉的适当拉伸，可进行适量按摩和放松。 ______ 運動結束後應注意肌肉的適當拉伸，可進行適量按摩和放鬆。
一定强度的运动结束后不宜立即停止，应适量进行一定的低强度运动，使身体逐渐恢复到基础水准。 ______ 一定強度的運動結束後不宜立即停止，應適量進行一定的低強度運動，使身體逐漸恢復到基礎水準。
系统运动前应认真了解正确的运动姿势和习惯，避免不必要的损伤。 ______ 系統運動前應認真了解正確的運動姿勢和習慣，避免不必要的損傷。
运动结束后避免通过凉水澡、空调、风扇等方式进行降温，应等体温恢复至正常后再洗澡。 ______ 運動結束後避免通過涼水澡、空調、風扇等方式進行降溫，應等體溫恢復至正常後再洗澡。
您有脑肿瘤风险疾病，应避免长期频繁使用染发剂，远离电离辐射和致癌的化学物质。 ______ 您有腦腫瘤風險疾病，應避免長期頻繁使用染髮劑，遠離電離輻射和致癌的化學物質。
您有视网膜少量出血异常，应注意休息，避免过度劳累，保持良好的用眼习惯。 ______ 您有視網膜少量出血異常，應注意休息，避免過度勞累，保持良好的用眼習慣。
您有糖尿病风险异常，应定期监测血糖，维持血糖的稳定，延缓疾病的进展。 ______ 您有糖尿病風險異常，應定期監測血糖，維持血糖的穩定，延緩疾病的進展。
您有高血压风险异常，应定期监测血压，保证血压在正常范围，避免或延缓并发症的发生。 ______ 您有高血壓風險異常，應定期監測血壓，保證血壓在正常範圍，避免或延緩併發症的發生。
不要吸烟，也要避免暴露于二手烟的环境中。吸烟和二手烟不仅会降低身体机能，吸烟人群发生心梗的风险比非吸烟人群提高1.5倍，还能诱发多种眼部疾病。 ______ 不要吸煙，也要避免暴露於二手煙的環境中。吸煙和二手煙不僅會降低身體機能，吸煙人群發生心梗的風險比非吸煙人群提高1.5倍，還能誘發多種眼部疾病。
不要饮酒，酒精会引发交感神经的过度兴奋，增加慢性疾病和眼病的发生。 ______ 不要飲酒，酒精會引發交感神經的過度興奮，增加慢性疾病和眼病的發生。
保持积极乐观的心态，避免长期处于高度紧张的状态，保持良好的作息习惯，避免熬夜。 ______ 保持積極樂觀的心態，避免長期處於高度緊張的狀態，保持良好的作息習慣，避免熬夜。
保持眼部卫生，不随意揉眼，避免用眼过度疲劳，培养做眼保健操的习惯。 ______ 保持眼部衛生，不隨意揉眼，避免用眼過度疲勞，培養做眼保健操的習慣。
定期进行眼部健康检查，早期发现健康风险，及时发现，及时干预。 ______ 定期進行眼部健康檢查，早期發現健康風險，及時發現，及時干預。
控制电子产品的使用时间，每天累计使用电子产品时间尽量少于4小时，字体尽量调大。 ______ 控制電子產品的使用時間，每天累計使用電子產品時間盡量少於4小時，字體盡量調大。
您有黄斑类眼部风险，建议补充叶黄素，避免强光对眼睛的直接照射，有助于保护黄斑。 ______ 您有黃斑類眼部風險，建議補充葉黃素，避免強光對眼睛的直接照射，有助於保護黃斑。
睡觉时使头稍稍抬起，避免眼压升高，阅读时保证充足的光线，避免长时间在光线不好的条件下用眼。 ______ 睡覺時使頭稍稍抬起，避免眼壓升高，閱讀時保證充足的光線，避免長時間在光線不好的條件下用眼。
近视人群选择正规的验光配镜机构，及时矫正视力，避免度数加深。 ______ 近視人群選擇正規的驗光配鏡機構，及時矯正視力，避免度數加深。
外出时可佩戴太阳镜或变色眼镜，使用屏幕类产品可以佩戴防蓝光眼镜。 ______ 外出時可佩戴太陽鏡或變色眼鏡，使用屏幕類產品可以佩戴防藍光眼鏡。
避免情绪的过度激动引起眼压升高，避免身体和精神的过度劳累。 ______ 避免情緒的過度激動引起眼壓升高，避免身體和精神的過度勞累。
阅读、看电视时保持合适的距离，避免过近或过远，书本与眼睛距离以30cm为准，看电视应保持电视画面对角线6至8倍的距离。 ______ 閱讀、看電視時保持合適的距離，避免過近或過遠，書本與眼睛距離以30cm為準，看電視應保持電視畫面對角線6至8倍的距離。
视网膜影像可见黄斑区色泽异常，中心凹反光消失，可见黄斑皱褶、条纹样改变或小血管扭曲。 ______ 視網膜影像可見黃斑區色澤異常，中心凹反光消失，可見黃斑皺褶、條紋樣改變或小血管扭曲。
视网膜影像可见视盘色泽异常，较明显的视盘边界不清, 提示视盘异常可能。 ______ 視網膜影像可見視盤色澤異常，較明顯的視盤邊界不清，提示視盤異常可能。
视网膜可见黄斑色斑点样沉积，直径＞125μm。 ______ 視網膜可見黃斑色斑點樣沉積，直徑＞125μm。


动脉硬化/高血压及并发症风险 ______ 動脈硬化/高血壓及併發症風險
糖尿病及并发症风险 ______ 糖尿病及併發症風險
心肌梗塞风险 ______ 心肌梗塞風險
脑梗风险 ______ 腦梗塞風險
贫血风险 ______ 貧血風險
失明风险 ______ 失明風險
高风险 ______ 高風險
中高风险 ______ 中高風險
中低风险 ______ 中低風險
低风险 ______ 低風險
未来健康风险 ______ 未來健康風險
您的风险 ______ 您的風險
同龄女性平均风险 ______ 同齡女性平均風險
同龄男性平均风险 ______ 同齡男性平均風險
*从视⽹膜分析⼼⾎管⻛险是⼈⼯智能的前沿技术，国际顶级科学期刊《Nature》⼦刊发表了Airdoc相关研究成果，Airdoc和北⼤医学部承担国家⾃然基⾦课题，共同研发了视⽹膜⼼⾎管⻛险评估模型，获得美国MMAAP医学基⾦。 ______ *從視網膜分析⼼⾎管風險是⼈⼯智能的前沿技術，國際頂級科學期刊《Nature》⼦刊發表了Airdoc相關研究成果，Airdoc和北⼤醫學部承擔國家⾃然基⾦課題，共同研發了視網膜⼼⾎管⻛險評估模型，獲得美國MMAAP醫學基⾦。
⻛险指数既不代表您患有这些疾病，也不等同于这些疾病的发病率。⻛险指数越⾼意味着身体机能越弱，患病⻛险越⾼，预示您的健康状况需要更多关注。 ______ 風險指數既不代表您患有這些疾病，也不等同於這些疾病的發病率。風險指數越⾼意味著身體機能越弱，患病風險越⾼，預示您的健康狀況需要更多關注。
控制体重和腰围，饮食少盐，减轻精神压力，坚持有氧运动，远离烟酒和空气污染。 ______ 控制體重和腰圍，飲食少鹽，減輕精神壓力，堅持有氧運動，遠離菸酒和空氣污染。
多吃富含纤维的谷物，定时定量进餐，少喝含糖饮料，坚持有氧运动，控制体重和腰围。 ______ 多吃含豐富纖維的穀物，定時定量進餐，少喝含糖飲料，堅持有氧運動，控制體重和腰圍。
不吸烟、日饮酒<30g、多活动、多吃蔬果、少食红肉、体重健康。如果能做到至少4项，就能降低58%的心梗风险。 ______ 不吸煙、日飲酒<30g、多活動、多吃蔬果、少食紅肉、體重健康。如果能做到至少4項，就能降低58%的心梗風險。
不吸烟、日饮酒<30g、多活动、多吃蔬果、多吃坚果、体重健康。做到以上4项，就能降低39%脑梗风险。 ______ 不吸煙、日飲酒<30g、多活動、多吃蔬果、多吃堅果、體重健康。做到以上4項，就能降低39%腦梗風險。
贫血是指人体的血液中没有足够量的红细胞，会导致不能对组织器官充分供应氧气，甚至引起器官的病变。全球贫血的患病率为24.8%。女性的贫血风险是男性的3倍。其中学龄前儿童和孕妇是贫血的高危人群。 ______ 貧血是指人體的血液中沒有足夠量的紅細胞，會導致不能對組織器官充分供應氧氣，甚至引起器官的病變。全球貧血的患病率為24.8%。女性的貧血風險是男性的3倍。其中學齡前兒童和孕婦是貧血的高危人群。
在光线充足的环境里阅读，阅读每40分钟休息10分钟；不要在黑暗中看手机电脑。如有视力下降，及时就医。 ______ 在光線充足的環境裡閱讀，閱讀每40分鐘休息10分鐘；不要在黑暗中看手機電腦。如有視力下降，及時就醫。
糖尿病及并发症 ______ 糖尿病及併發症
动脉硬化/高血压及并发症 ______ 動脈硬化/高血壓及併發症
心肌梗塞 ______ 心肌梗塞
脑梗 ______ 腦梗塞
贫血 ______ 貧血
失明 ______ 失明


视网膜检查报告 ______ 視網膜檢查報告
颞上侧 ______ 顳上側
颞下侧 ______ 顳下側
鼻上侧 ______ 鼻上側
鼻下侧 ______ 鼻下側
健康评估报告 ______ 健康評估報告
体检号 ______ 體檢號
建议下一次复查时间： ______ 建議下一次復查時間：
由于视网膜照片是通过瞳孔照亮视网膜成像，如果瞳孔过小会超过机器适用范围，从而无法识别。 ______ 由於視網膜照片是通過瞳孔照亮視網膜成像，如果瞳孔過小會超過機器適用範圍，從而無法識別。
可能由于先天生理性瞳孔较小，导致图片成像无法达到识别标准 ______ 可能由於先天生理性瞳孔較小，導致圖片成像無法達到識別標準
右眼图片不可读，左眼未发现中度非增殖性（含）以上糖尿病性视网膜病变 ______ 右眼圖片不可讀，左眼未發現中度非增殖性（含）以上糖尿病性視網膜病變
左眼图片不可读，右眼未发现中度非增殖性（含）以上糖尿病性视网膜病变 ______ 左眼圖片不可讀，右眼未發現中度非增殖性（含）以上糖尿病性視網膜病變
可能因为瞳孔过小或眨眼等原因造成视网膜影像无法识别。请联系工作人员重新扫描，请注意按设备提示操作。 ______ 可能因為瞳孔過小或眨眼等原因造成視網膜影像無法識別。請聯繫工作人員重新掃描，請注意按設備提示操作。
可能因为拍照姿势不正确或者眨眼造成视网膜影像未识别。请联系工作人员重新扫描，请注意按设备提示操作。 ______ 可能因為拍照姿勢不正確或者眨眼造成視網膜影像未識別。請聯繫工作人員重新掃描，請注意按設備提示操作。
影像可见屈光介质不清，晶状体颜色加深。 ______ 外眼像可見瞳孔區不透明體，晶狀體顏色加深，眼底紅光反射或不可見。
可能因白内障等原因导致图片模糊或部分区域不可见，识别结果仅针对可见区域。 ______ 可能因白內障等原因導致圖片模糊或部分區域不可見，識別結果僅針對可見區域。
可能因小瞳孔等原因导致图片模糊或部分区域不可见，识别结果仅针对可见区域。 ______ 可能因小瞳孔等原因導致圖片模糊或部分區域不可見，識別結果僅針對可見區域。
可能因小瞳孔或者白内障等原因导致图片模糊或部分区域不可见，识别结果仅针对可见区域。 ______ 可能因小瞳孔或者白內障等原因導致圖片模糊或部分區域不可見，識別結果僅針對可見區域。
目前情况良好，建议定期复查。 ______ 目前情況良好，建議定期復查。
可能因小瞳孔或某些原因导致部分照片不可读，识别结果仅针对可读图片。 ______ 可能因小瞳孔或某些原因導致部分照片不可讀，識別結果僅針對可讀圖片。
可能因白内障或某些原因导致部分照片不可读，识别结果仅针对可读图片。 ______ 可能因白內障或某些原因導致部分照片不可讀，識別結果僅針對可讀圖片。
鹰瞳医疗视网膜检查报告 ______ 鷹瞳醫療視網膜檢查報告
可能因瞳孔较小等原因，导致部分图像不可见，在可辨识范围内未见明显眼底异常。 ______ 可能因瞳孔較小等原因，導致部分圖像不可見，在可辨識範圍內未見明顯眼底異常。
可能由于瞳孔较小导致图片成像无法达到识别标准 ______ 可能由於瞳孔較小導致圖片成像無法達到識別標準
如有视⼒下降、眼胀眼痛、视物模糊变形等症状，请及时就诊。 ______ 如有視⼒下降、眼脹眼痛、視物模糊變形等症狀，請及時就診。
参考值：0 ______ 參考值：0
参考值：≥0.67 ______ 參考值：≥0.67
参考值：垂直杯盘比 <0.5，双眼水平和垂直杯盘比相差≤0.2 ______ 參考值：垂直杯盤比 <0.5，雙眼水平和垂直杯盤比相差≤0.2
参考值：<0.15 ______ 參考值：<0.15
B区视网膜动静脉比（AVR）参考值：≥0.67 ______ B區視網膜動靜脈比（AVR）參考值：≥0.67
杯盘比值参考值：垂直杯盘比 <0.5，双眼水平和垂直杯盘比相差≤0.2 ______ 杯盤比值參考值：垂直杯盤比 <0.5，雙眼水平和垂直杯盤比相差≤0.2
豹纹斑平均密度参考值：<0.15 ______ 豹紋斑平均密度參考值：<0.15
缺损面积参考值：0 ______ 缺損面積參考值：0
弧形斑直径参考值：≤0.1 ______ 弧形斑直徑參考值：≤0.1


风险比%s增加%s分 ______ 風險比%s增加%s分
风险比%s减少%s分 ______ 風險比%s減少%s分
风险比%s持平 ______ 風險比%s持平
上次 ______ 上次
个月前 ______ 個月前
天前 ______ 天前


正常（未见明显异常风险） ______ 正常（未見明顯異常風險）
眼底可见半透明视网膜；动静脉血管比值无明显异常；视杯与视乳头（视盘）比例正常。 ______ 眼底發現半透明視網膜；動靜脈血管比值無明顯異常；視杯與視乳頭（視盤）比例正常。
目前情况良好，建议每年复查一次眼底 ______ 目前情況良好，建議每年復查一次眼底
糖尿病性视网膜病变 ______ 糖尿病性視網膜病變
眼底可见糖网特征性病理改变；如有糖尿病史，提示有糖尿病性视网膜病变可能。 ______ 眼底發現糖網特徵性病理改變；如有糖尿病史，提示有糖尿病性視網膜病變可能。
建议进一步检查。 ______ 建議進一步檢查。
糖尿病性视网膜病变（中度非增） ______ 糖尿病性視網膜病變（中度非增）
视网膜内可见微血管瘤、出血或渗出。 ______ 視網膜內可見微血管瘤，伴有出血或滲出。
类似异常 ______ 類似異常
是糖尿病性视网膜病变的中期发展阶段，可能导致黄斑水肿、视网膜新生血管等致盲病变。 ______ 是糖尿病性視網膜病變的中期發展階段，可能導致黃斑水腫、視網膜新生血管等致盲病變。
建议进一步眼科检查。 ______ 建議進一步眼科檢查。
糖尿病性视网膜病变（轻度非增） ______ 糖尿病性視網膜病變（輕度非增）
视网膜可见疑似微血管瘤或微小出血点，部分情况下与点状出血特征相似。 ______ 視網膜發現疑似微血管瘤或微小出血點，部分情況下與點狀出血特徵相似。
是由糖尿病引起。这个阶段症状不明显，但是长期发展可能导致黄斑水肿、视网膜新生血管等致盲病变。 ______ 是由糖尿病引起。這個階段症狀不明顯，但是長期發展可能導致黃斑水腫、視網膜新生血管等致盲病變。
建议定期复查。 ______ 建議定期復查。
糖尿病性视网膜病变（重度非增） ______ 糖尿病性視網膜病變（重度非增）
视网膜内可见弥漫性出血或渗出，静脉呈串珠状改变，并伴有微血管异常。 ______ 視網膜內可見瀰漫性出血或滲出，靜脈呈串珠狀改變，並伴有微血管異常。
糖尿病性视网膜病变（增殖期） ______ 糖尿病性視網膜病變（增殖期）
视网膜内可见弥漫性出血和渗出，伴有增殖膜、视网膜下出血或玻璃体积血。 ______ 視網膜內可見瀰漫性出血和滲出，伴有增殖膜、視網膜下出血或玻璃體積血。
是糖尿病性视网膜病变的晚期阶段，已严重影响视力，有极高失明可能。 ______ 是糖尿病性視網膜病變的晚期階段，已嚴重影響視力，有極高失明可能。
豹纹样改变（轻微） ______ 豹紋樣改變（輕微）
视网膜色素上皮减少，可见脉络膜血管隐约暴露，形成轻微豹纹样改变。 ______ 視網膜色素上皮減少，可見脈絡膜血管隱約暴露，形成輕微豹紋樣改變。
是一种常见的极轻微改变，可由近视或视网膜老化、先天因素引起，一般没有症状也不需要治疗。 ______ 是一種常見的極輕微改變，可由近視或視網膜老化、先天因素引起，一般沒有症狀也不需要治療。
豹纹样改变（明显） ______ 豹紋樣改變（明顯）
视网膜色素上皮减少，可见脉络膜血管暴露，形成明显豹纹样改变。 ______ 視網膜色素上皮減少，可見脈絡膜血管暴露，形成明顯豹紋樣改變。
是一种常见的轻微改变，可由近视或视网膜老化、先天因素引起，一般没有症状也不需要治疗。 ______ 是一種常見的輕微改變，可由近視或視網膜老化、先天因素引起，一般沒有症狀也不需要治療。
视网膜变薄，视网膜脱落可能 ______ 視網膜變薄，視網膜脫落可能
中重度病理性近视改变 ______ 中重度病理性近視改變
眼底豹纹样改变或漆裂纹，视盘弧形斑，或伴有不同类型的萎缩斑等类似改变。 ______ 眼底豹紋樣改變或漆裂紋，視盤弧形斑，或伴有不同類型的萎縮斑等類似改變。
多因遗传或长时间地高强度用眼形成，易导致玻璃体变性、白内障、黄斑裂孔、青光眼等致盲疾病。 ______ 多因遺傳或長時間地高強度用眼形成，易導致玻璃體變性、白內障、黃斑裂孔、青光眼等致盲疾病。
豹纹样改变（重度） ______ 豹紋樣改變（重度）
视网膜色素上皮减少，可见脉络膜血管完全暴露，形成重度豹纹样改变。 ______ 視網膜色素上皮減少，可見脈絡膜血管完全暴露，形成重度豹紋樣改變。
是一种常见的轻微改变，可由近视或视网膜老化、先天因素引起，高度近视人群需注意防范视网膜脱离的风险。 ______ 是一種常見的輕微改變，可由近視或視網膜老化、先天因素引起，高度近視人群需注意防範視網膜脫離的風險。
有较高视网膜脱落可能 ______ 有較高視網膜脫落可能
年龄相关性黄斑变性（早中期） ______ 年齡相關性黃斑變性（早中期）
视网膜可见黄白色斑点样沉积等类似改变，可能为玻璃膜上的色素异常沉积。 ______ 視網膜可見黃白色斑點樣沉積等類似改變，可能為玻璃膜上的色素異常沉積。
由于视网膜老化、长期有害光线损害等原因，造成视网膜色素细胞产生异常代谢产物沉积形成。严重时可能出现弓形暗点，视野缩窄或视力下降。 ______ 由於視網膜老化、長期有害光線損害等原因，造成視網膜色素細胞產生異常代謝產物沉積形成。嚴重時可能出現弓形暗點，視野縮窄或視力下降。
年龄相关性黄斑变性（进展期） ______ 年齡相關性黃斑變性（進展期）
视网膜可见玻璃膜疣、黄斑区色素异常、新生血管性病变或地图样萎缩等类似改变。 ______ 視網膜可見脈絡膜小疣、黃斑區色素異常、新生血管性病變或地圖樣萎縮等類似改變。
是由视网膜老化、长期有害光线损害、营养障碍等多种因素复合作用的结果，可引起视力的急剧下降甚至失明。 ______ 是由視網膜老化、長期有害光線損害、營養障礙等多種因素複合作用的結果，可引致視力的急劇下降甚至失明。
近视性新生血管病变或其他性质新生血管病变 ______ 近視性新生血管病變或其他性質新生血管病變
眼底可见黄斑区视网膜下脉络膜新生血管性病变，提示有近视性新生血管病变或其他性质新生血管病变可能。 ______ 眼底發現黃斑區視網膜下脈絡膜新生血管性病變，提示有近視性新生血管病變或其他性質新生血管病變可能。
由于光照刺激和年龄增长出现的病变 ______ 由於光照刺激和年齡增長出現的病變
年龄相关性黄斑变性 ______ 年齡相關性黃斑變性
年龄相关性黄斑变性早中期的典型表现为：眼底可见玻璃膜疣，发展到较严重的进展期，还可见黄斑区色素上皮异常、脉络膜新生血管性病变或地图样萎缩。 ______ 年齡相關性黃斑變性早中期的典型表現為：眼底可見脈絡膜小疣，發展到較嚴重的進展期，還可見黃斑區色素上皮異常、脈絡膜新生血管性病變或地圖樣萎縮。
视网膜动脉硬化 ______ 視網膜動脈硬化
视网膜动脉反光增强、动静脉交叉压迫征，动静脉直径比值偏小等类似改变。 ______ 視網膜動脈反光增強、動靜脈交叉壓迫徵，動靜脈直徑比值偏小等類似改變。
正常的血管为了让血液流动顺畅，所以内壁非常柔软。血管硬化会导致血管内腔变窄，使得血液循环不顺畅，继续恶化甚至会导致血管堵塞。 ______ 正常的血管為了讓血液流動順暢，所以內壁非常柔軟。血管硬化會導致血管內腔變窄，使得血液循環不順暢，繼續惡化甚至會導致血管堵塞。
动脉硬化/高血压视网膜病变 ______ 動脈硬化/高血壓視網膜病變
视网膜动脉反光增强、动静脉交叉压迫征，动静脉直径比值偏小。 ______ 視網膜動脈反光增強、動靜脈交叉壓迫徵，動靜脈直徑比值偏小。
视网膜高血压病变中重度 ______ 視網膜高血壓病變中重度
视网膜可见动脉硬化、动静脉交叉压迫，直径比值偏小、视网膜出血、渗出等类似改变。 ______ 視網膜可見動脈硬化、動靜脈交叉壓迫，直徑比值偏小、視網膜出血、滲出等類似改變。
是由于高血压引起的眼底血管病变，使得血液循环不顺畅，可能有头痛、视物模糊等症状，继续恶化甚至会导致血管堵塞。 ______ 是由於高血壓引起的眼底血管病變，使得血液循環不順暢，可能有頭痛、視物模糊等症狀，繼續惡化甚至會導致血管堵塞。
